model,prevalence_baseline_pr_auc,pr_auc,roc_auc,precision,recall,f1,ks_stat,brier_score,threshold,pr_auc_ci_lower,pr_auc_ci_upper
logistic_regression,0.0153,0.1785,0.9226,0.1263,0.6815,0.213,0.7256,0.1687,0.8838,0.1497,0.215
random_forest,0.0153,0.1571,0.9289,0.1562,0.5506,0.2433,0.7407,0.058,0.657,0.1331,0.1891
xgboost,0.0153,0.1729,0.9322,0.157,0.5506,0.2444,0.7408,0.1296,0.8873,0.1444,0.206
