feature_a,feature_b,r
NITA,OCF_TA,0.844
WCTA,CLCA,-0.777
OENEG,MB_MISSING,0.898
LNTA,LNMK,0.88
LNTA,RSIZE,0.852
LNMK,RSIZE,0.969
LNMK,PRICE,0.727
RSIZE,PRICE,0.728
